	chromosome_name	external_gene_name	description	gene_biotype
SEC24B-AS1	4	SEC24B-AS1	SEC24B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44003]	lncRNA
A1BG	19	A1BG	alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5]	protein_coding
A1CF	10	A1CF	APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]	protein_coding
GGACT	13	GGACT	gamma-glutamylamine cyclotransferase [Source:HGNC Symbol;Acc:HGNC:25100]	protein_coding
A2M	12	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	protein_coding
A2ML1	12	A2ML1	alpha-2-macroglobulin like 1 [Source:HGNC Symbol;Acc:HGNC:23336]	protein_coding
A2MP1	12	A2MP1	alpha-2-macroglobulin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8]	transcribed_unprocessed_pseudogene
A4GALT	22	A4GALT	alpha 1,4-galactosyltransferase (P blood group) [Source:HGNC Symbol;Acc:HGNC:18149]	protein_coding
A4GNT	3	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:17968]	protein_coding
AAAS	12	AAAS	aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]	protein_coding
AACS	12	AACS	acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]	protein_coding
AADAC	3	AADAC	arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17]	protein_coding
AADACL2	3	AADACL2	arylacetamide deacetylase like 2 [Source:HGNC Symbol;Acc:HGNC:24427]	protein_coding
AADACL3	1	AADACL3	arylacetamide deacetylase like 3 [Source:HGNC Symbol;Acc:HGNC:32037]	protein_coding
AADACL4	1	AADACL4	arylacetamide deacetylase like 4 [Source:HGNC Symbol;Acc:HGNC:32038]	protein_coding
AADAT	4	AADAT	aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]	protein_coding
AAGAB	15	AAGAB	alpha and gamma adaptin binding protein [Source:HGNC Symbol;Acc:HGNC:25662]	protein_coding
AAK1	2	AAK1	AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679]	protein_coding
AAMP	2	AAMP	angio associated migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]	protein_coding
AANAT	17	AANAT	aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19]	protein_coding
AARS2	6	AARS2	alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]	protein_coding
PTGES3L-AARSD1	17	PTGES3L-AARSD1	PTGES3L-AARSD1 readthrough [Source:HGNC Symbol;Acc:HGNC:43946]	protein_coding
AASDH	4	AASDH	aminoadipate-semialdehyde dehydrogenase [Source:HGNC Symbol;Acc:HGNC:23993]	protein_coding
AASDHPPT	11	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:HGNC:14235]	protein_coding
AASS	7	AASS	aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]	protein_coding
AATF	17	AATF	apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235]	protein_coding
AATK	17	AATK	apoptosis associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:21]	protein_coding
ABAT	16	ABAT	4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]	protein_coding
ABCA1	9	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	protein_coding
ABCA10	17	ABCA10	ATP binding cassette subfamily A member 10 [Source:HGNC Symbol;Acc:HGNC:30]	protein_coding
ABCA12	2	ABCA12	ATP binding cassette subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:14637]	protein_coding
ABCA13	7	ABCA13	ATP binding cassette subfamily A member 13 [Source:HGNC Symbol;Acc:HGNC:14638]	protein_coding
