S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,gene
34.1387,33.4288,39.7795,45.2507,28.2377,63.5373,32.2396,67.3712,34.4538,13.8398,16.6224,42.1604,24.5358,24.7415,26.4968,20.8938,27.3609,29.0844,24.3038,24.1362,A1BG
552.521,465.9669,810.9274,229.1667,347.1897,49.3354,0.5496,49.7578,129.552,177.5618,205.411,139.863,240.8931,261.2761,132.7501,4.0627,336.4982,42.394,300.7595,51.7409,A1CF
3764.1912,206.0051,1979.9521,73.5449,929.5726,116.1298,204.809,100.0352,235.543,67.4735,1101.4648,69.7179,942.1857,173.3663,471.8068,121.0447,1354.0664,59.1628,1693.7975,91.8562,A2LD1
12399.312,28250.4198,14624.8406,36164.3913,30884.4496,38882.8068,13485.3201,29138.3708,62758.8334,67530.2002,13625.1904,76467.7711,46192.3032,67775.4125,57088.547,41268.491,15698.8341,38610.7374,17598.8304,30405.7241,A2M
633.9286,1040.3944,1098.011,887.3698,695.5504,1227.6374,1584.5012,964.3329,1244.602,954.3581,504.9113,2145.9089,719.7415,996.6997,1005.3252,1335.4614,765.6968,1833.274,589.3671,957.8463,A4GALT
15.7563,57.2519,3.3549,36.7839,8.1967,3.8319,7.4196,2.642,2.5782,3.828,0.6893,3.2245,2.9377,5.5006,3.4234,38.3053,3.6753,6.7688,1.0127,10.8592,A4GNT
580.3571,777.0356,522.8852,628.5807,655.7377,826.7273,625.4466,908.4104,530.4544,583.9223,546.9585,632.4063,470.6228,474.6975,481.1715,680.7893,569.27,978.9811,567.5949,638.7771,AAAS
18.3824,76.3359,11.0232,11.0677,5.2693,22.9913,12.366,27.7411,5.4786,88.9282,8.9609,10.8827,4.1128,56.1056,6.4663,22.6349,11.8428,46.669,8.6076,23.9541,AACSL
594.0126,493.6387,575.6051,480.7943,563.2319,481.8585,1237.9775,944.5178,676.4422,547.7032,980.1827,338.1701,610.4583,584.7085,502.4724,245.502,935.9877,522.2658,795.9494,592.4658,AACS
153.3613,49.6183,156.2425,51.4323,159.2506,60.3521,95.6307,39.1898,130.5189,82.4499,115.1129,41.1125,125.1469,61.6062,118.6763,50.4933,145.3803,123.6195,138.2278,73.7788,AADAT
1006.8277,562.659,987.2993,820.9635,1126.4637,653.3349,1761.1981,569.3527,1113.1163,391.9317,1113.9066,567.5131,1112.5147,563.2563,1146.0631,401.6251,1083.8183,722.1233,1185.8228,1029.0699,AAGAB
1195.9034,1002.8626,1394.6801,,1752.3419,1088.7319,,740.6429,1593.6191,895.1708,1889.0229,758.9682,2392.4794,1366.8867,1802.9669,773.6506,2300.7657,984.6812,1746.8354,1169.6009,AAK1
2376.0504,2208.0153,2259.7652,1965.1693,2087.822,2108.969,2419.6208,3200.7926,2071.8659,3347.1731,2445.6316,1974.607,1800.8226,1776.6777,1851.2742,2632.6175,2406.5339,3134.3071,2527.0886,2141.5003,AAMP
261.5389,405.1495,281.3324,519.8014,354.8009,371.2082,476.227,291.0612,343.8511,575.3445,497.6702,435.6872,344.2861,422.3872,418.0297,663.372,425.1026,425.7214,427.8076,452.5736,AARS2
386.5546,380.0891,416.0077,403.3203,435.5972,547.0004,532.8387,506.8252,446.6645,691.9906,432.8795,526.4006,408.0494,410.341,436.2876,719.675,453.2925,804.0613,500.7595,838.0756,AARSD1
2726.8908,2178.7532,3408.579,2561.5234,2826.6979,2583.1637,3015.114,6187.1422,3258.7818,2222.6148,3609.1677,2668.682,3292.8907,2496.6997,2961.5824,2469.5299,4065.7478,4618.0976,3511.8987,4203.7923,AARS
1267.6576,1510.458,1285.8855,924.4792,1233.0211,927.3141,1161.3081,916.3364,1254.2701,1156.6549,1119.421,814.994,1240.5993,1058.8559,1013.6934,927.4521,1261.4599,1217.638,1093.1646,1085.2823,AASDHPPT
315.1261,274.4911,235.3223,261.3932,323.7705,153.2751,454.2457,130.3391,274.8953,292.4028,320.5239,176.1387,353.4078,244.2244,260.175,159.025,290.3522,161.7385,314.9367,187.4811,AASDH
747.8992,137.7226,872.7534,262.6953,1580.7963,328.1044,387.1943,215.3236,770.2224,358.0683,755.1267,387.7469,1130.7286,445.5446,782.0464,441.0911,902.9096,217.6701,885.5696,276.9099,AASS
692.2269,851.7812,793.6736,997.3958,723.0679,1469.5246,1127.5076,1199.9119,908.1534,1852.768,864.3805,909.3108,944.4771,1061.0561,995.8159,1636.0998,938.438,1391.8774,937.7215,1324.185,AATF
29.4118,75.6997,30.1941,84.056,31.6159,96.7549,13.4652,23.8001,32.8714,79.7998,56.1778,318.42,37.6028,92.4092,38.0373,128.9553,82.4911,134.7667,28.8608,37.3685,AATK
10350.3151,265.5852,13011.2629,426.7578,5769.3208,199.7366,430.338,108.7627,2825.3303,1515.9011,6256.0744,303.9097,8477.9671,1464.2464,3457.9688,408.0093,12165.7989,1405.415,5619.2405,836.798,ABAT
38.3508,16.5458,13.4196,12.3698,160.4215,28.7391,3.8472,3.0823,12.2462,10.8952,3.1018,9.2825,68.8278,21.4521,36.1354,21.4742,20.4186,3.2063,21.2658,3.5133,ABCA10
104.2962,80.4994,74.6993,60.638,103.4075,94.4222,151.4592,40.0793,69.5102,38.8074,95.5678,59.867,63.2697,44.5325,74.3895,43.1689,101.1128,29.1557,82.5266,61.6516,ABCA11P
1.5756,134.8601,9.1062,651.0417,4.6838,115.9143,28.3045,579.0401,22.5588,300.9423,2.4125,168.0774,12.926,15.9516,66.9456,88.7986,5.7172,352.3335,5.0633,248.8037,ABCA12
45.6933,0.3181,8.1476,0.651,6.4403,0.958,104.9739,0,8.0567,0.5889,92.366,0.4031,23.7955,6.6007,1.5215,1.7411,18.3767,0.7125,6.0759,69.6267,ABCA13
7.8782,17.8117,2.8756,25.3906,1.7564,101.5447,5.2212,334.6543,6.1231,27.0907,5.5144,10.0766,4.1128,4.4004,1.9019,66.7441,4.4921,8.9063,9.1139,6.3878,ABCA17P
