"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHAC1",20.619445406686,5.10230816765313,1.41684464579522,3.60117687058725,0.000316779968571344,0.00765029425930722
"GLRX",363.690496252924,-3.0639885392216,0.597801112971486,-5.12543130606006,2.96857388048861e-07,4.20899088044331e-05
"MEFV",18.9414712119492,-1.75154304365289,1.6659550188769,-1.05137475130252,0.293086507373488,0.532680371116746
"STXBP1",81.4708444181949,-0.179073620808065,0.476317764073403,-0.37595410945133,0.70695101276872,0.850770040848527
"AKAP8L",25.9880695487919,-2.22592868473232,1.24433611875621,-1.78884840774152,0.0736392325194013,0.248339365729111
"AKR1C1",71.498720135913,-2.6658322304144,1.11162588176569,-2.39813796542774,0.0164786572077088,0.102687889386034
"CTSL",959.807624847895,0.131217704256596,0.364485567001862,0.360007956792226,0.718841183314544,0.857134170040755
"IGFBP4",1535.12587606297,-0.270044352037918,0.455237414505507,-0.593194547357774,0.553050961323833,0.750569161796631
"COQ8A",19.2954116317658,-0.470055306459959,1.19611935877104,-0.392983612390424,0.694331585106915,0.843820855411962
"CD4",9.65789091357722,-0.811671219982575,1.13011623625543,-0.71821923616636,0.472622118948465,0.691494277200403
"FDFT1",41.2193831546389,-0.104475952866134,0.888767322164433,-0.117551523622292,0.906423017074685,0.957964062473211
"MAPK1",33.325475832875,-1.21485231106759,0.953943860486654,-1.27350503670921,0.202838886421927,0.436918968897712
"STIP1",28.882456105417,-1.8078375092485,1.54094784633453,-1.17319837497994,0.240716263559183,0.480156192277943
"AGRN",1073.15008126666,1.55346755879085,0.425346926575752,3.6522364727001,0.000259966322825549,0.00665204099878864
"ABCG1",25.2869932144409,1.11471889830838,1.10894754024581,1.00520435625051,0.314798457983642,0.553869786688203
"COPS3",46.8105203130091,-0.683611172653448,0.916295267224925,-0.746059918789955,0.455631220129951,0.677334077636249
"PFDN2",50.9834986121206,-0.316895818895518,0.926676260988738,-0.341970364663705,0.732373194767116,0.865717322812577
"TSC22D3",377.265712740902,-0.579276102086633,0.478630482654503,-1.21027833178101,0.226172109314572,0.463487525703255
"BCL2L2",192.26901654177,0.629913465511308,0.482894542682682,1.30445347758928,0.192079011794208,0.423953446724256
"ERBB3",157.352161767692,-1.06921396590357,0.518956371410815,-2.06031571208355,0.0393683688249942,0.173964916664334
"ABL1",21.8273971409205,-1.63419308550432,1.01812826069779,-1.60509549590962,0.108472790376689,0.30977480961265
"SQLE",154.774094615328,0.400959244943739,0.572860045549804,0.699925309957543,0.483973950184563,0.700283167687222
"AFMID",123.610724842216,-0.253223290972055,0.407438083425324,-0.621501281478679,0.534269851596122,0.738158037623999
"CLN3",6.47009143887655,-1.00122510746108,1.97730370047228,-0.506358789103533,0.612604799428624,NA
"GTF2E2",69.8171744969718,0.153729311187189,0.936414207632149,0.164168067863809,0.869598838169725,0.938065787371425
"MUC1",94.4388445259092,-1.95418702256112,0.948558547082099,-2.06016489817363,0.0393827793707849,0.173970294399722
"TOP2A",76.6333853814184,1.84230838833418,0.531904925570086,3.46360467777137,0.000532989173417078,0.0109133774465766
"ALDH18A1",116.336206541393,0.905318055946991,0.865734102038168,1.04572299256277,0.295688944049946,0.53505618447133
"ATG3",91.6596330721969,-0.498367520542608,0.481901597937435,-1.03416864080893,0.301057331587135,0.540321488268403
"ECH1",51.4041196148186,-0.869800319101732,0.875006564741466,-0.99405004962303,0.320198501645136,0.558538223260952
"AARS",359.973865840943,0.325553753537148,0.438028626192372,0.74322483525123,0.457345569730445,0.678824554930829
"RPS5",1104.14607097163,-0.658737577383949,0.283011989401678,-2.3275960102489,0.0199335655060893,0.115181417512399
"GRK2",254.209859878948,0.285405271589482,0.432208463710864,0.660341699787745,0.509034575883805,0.718542086979347
"CHD1L",168.68325854467,0.0401247596971538,0.44339572732551,0.0904942407523406,0.9278944703909,0.969279607587294
"GNS",371.210716920426,-0.0978422061316323,0.285650059172152,-0.342524718584658,0.731956045014867,0.865647971990191
"MFAP1",63.1016534301277,0.60545115124805,0.564287584307991,1.07294785156498,0.283294514499301,0.523219413231002
"TGFB3",101.632208725875,1.5862366678469,0.461525915327661,3.43693954156561,0.000588326910687175,0.0117362763151605
"AKT1",125.024640046842,0.735159528804006,0.425579981153831,1.72742976963071,0.0840905080186753,0.268296095653587
"APOE",355.045594323316,-1.91369731464632,0.480121081862901,-3.98586395586099,6.72350291560796e-05,0.00255101168060896
