pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,7.19678001987143e-10,1.26987183450631e-06,0.801215574617779,0.509816217241101,2.44700427793949,93,IGHV2-5|IGHV3-33|IGHV5-51|IGHV3-64|IGHV4-34|IGHM|MS4A1|IGHV3-20|CD38|IGHV2-70D|STAP1|IGLC3|IGHG4|IGHV4-31|IGKC|CD19|IGHV1-69-2|CTLA4|IGHV3-53|IGHV3-30|IGHA1|KLHL6|BLK|GCSAM|IGHV3-15|IGHV3-49|CD22|IGLC2|IGHA2|BCAR1|IGHV1-24|IGLL5|IGHV1-69|CD79A|PRKCH|LYN|IGHV3-43|IGHV3-74|IGHV4-39
GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS,5.58014129392043e-10,1.26987183450631e-06,0.801215574617779,-0.465185408524928,-1.54231884290322,488,ADH1A|PNPLA3|ADH1B|CYP3A5|FA2H|ADIPOQ|ECHDC3|CBFA2T3|PLP1|CYP27A1|SCD|CYP2C18|LIPC|ALDOC|PRXL2C|HAO2|ABCB11|HADH|GCKR|ACOT2|UGT2A2|ALOXE3|ALDH1A2|PON3|C3|PGD|PRKAR2B|THEM5|CYP1B1|PLA2G5|CYP3A4|CYP4F8|CRAT|AKR1C4|BTD|ALOX15|GSTZ1|UGT1A10|MSMO1|EPHX2|ACSM3|FADS2|PON2|PHYH|PTGDS|MALRD1|CYP3A7|P2RX7|TBXAS1|TYRP1|IDH1|LEP|PPARG|LDHD|GATM|HACL1|PPARGC1A|GPD1|ELOVL5|PECR|PRKAG3|UGT1A8|SESN2|ABHD5|CROT|HPGD|MCAT|AKR1C1|CYP2E1|ACSL1|PPARA|CES1|APOC1|AKR1C3|CYP2D7|NUP93|PLIN5|ACAD11|HACD3|ACSF3|NPC1|ACSM6|ACSS2|PNPLA8|PTGIS|MCEE|NUPR1|UGT1A6|HSD17B8|ACOX2|IGF1|MCCC1|CYP2U1|PGM2L1|MECR|SLC27A2|LIPH|ACSM5|AKR1C2|GSTM2|NUP43|CYP4F2|DLAT|FAAH2|EPHX1|TECR|DAGLA|AWAT1|FADS1|CNR1|ME2|ACACB|MLXIPL|HLCS|ACSF2|ACSBG1|PLA2G4D|TWIST1|DEGS1|PDK4|NUP160|XYLB|PLA2G2F|ELOVL3|GAPDHS|AKT2|GNPAT|AAAS|MTOR|ALDH5A1|LTC4S|KIT|ALOX15B|ZBTB20|AASDH|LPL|CPT2|ACBD5|MAPK3|ELOVL6|NUP210|HYI|ACADM|IDH2|RANBP2|PLA2G3|HAL|PFKL|GSTM4|DGAT2|FASN|OSBPL1A|PDHB|PM20D1|SLC27A4|PHGDH|FADS3|PRKAB1|OGT|HSD17B10|PDPR|ME3|NUP153|HACD1|NUP205|DCXR|ADTRP|ELOVL7|PLA2G4B|ETFA|SCP2|ECHDC1|SRR|GPX4|SLC25A17|GRHPR|PLA2G4C|ALDH3A2|ATP8B1|ABHD2|ME1|PDK3|NUP98|SLC27A5|ABCD1|ELOVL1|PLAA|HAAO|AACS|NUP214|HACD2|IDO1|ABAT|GCDH|GPX1|APP
GOBP_FATTY_ACID_METABOLIC_PROCESS,2.5419153322918e-09,2.99013973588593e-06,0.774939030136436,-0.495610350977353,-1.62242338782301,302,PNPLA3|FA2H|ADIPOQ|ECHDC3|PLP1|SCD|CYP2C18|LIPC|HAO2|ABCB11|HADH|ACOT2|ALOXE3|PON3|C3|PRKAR2B|THEM5|CYP1B1|PLA2G5|CYP3A4|CYP4F8|CRAT|AKR1C4|ALOX15|GSTZ1|MSMO1|EPHX2|ACSM3|FADS2|PON2|PHYH|PTGDS|TBXAS1|TYRP1|LEP|PPARG|HACL1|PPARGC1A|ELOVL5|PECR|PRKAG3|UGT1A8|SESN2|ABHD5|CROT|HPGD|MCAT|AKR1C1|CYP2E1|ACSL1|PPARA|CES1|APOC1|AKR1C3|CYP2D7|PLIN5|ACAD11|HACD3|ACSF3|ACSM6|ACSS2|PNPLA8|PTGIS|MCEE|HSD17B8|ACOX2|CYP2U1|MECR|SLC27A2|LIPH|ACSM5|AKR1C2|GSTM2|CYP4F2|FAAH2|EPHX1|TECR|DAGLA|AWAT1|FADS1|CNR1|ACACB|MLXIPL|ACSF2|ACSBG1|PLA2G4D|TWIST1|DEGS1|PDK4|PLA2G2F|ELOVL3|AKT2|GNPAT|MTOR|LTC4S|ALOX15B|AASDH|LPL|CPT2|ACBD5|MAPK3|ELOVL6|ACADM|PLA2G3|GSTM4|DGAT2|FASN|PM20D1|SLC27A4|FADS3|PRKAB1|HSD17B10|PDPR|HACD1|ADTRP|ELOVL7|PLA2G4B|ETFA|SCP2|ECHDC1|GPX4|SLC25A17|PLA2G4C|ALDH3A2|ABHD2|PDK3|SLC27A5|ABCD1|ELOVL1|PLAA|AACS|HACD2|GCDH|GPX1|ACAA2|PER2|PDK1|AOAH|ASAH1|TRIB3|ACAD9|CRYL1|CREM|UCP3|ACAT1|ACOX3|ECHDC2|HADHB|FAAH|BDH2|NUDT7|CYP4V2|ECHS1|ECI2|ACOT4|IVD|ETFDH
GOBP_LIPID_CATABOLIC_PROCESS,6.3941868492289e-09,5.6412713477322e-06,0.761460801445585,-0.507859267012172,-1.65239369861499,260,PLIN1|PNPLA3|ADIPOQ|CYP27A1|LIPC|LGALS12|PLA2G2A|LIPK|HAO2|ABCB11|NAPEPLD|PLCD3|SPP1|HADH|CYP1B1|PLA2G5|ABHD12B|CYP3A4|CRAT|FABP4|PLBD1|CES3|GDPD1|FUCA1|PHYH|HSD11B1|IDH1|LEP|SCARB1|HACL1|PECR|NEU2|SESN2|ABHD5|CROT|LIPM|MCAT|PPARA|CES1|APOC1|AKR1C3|GALC|SORL1|LIPE|PLIN5|ACAD11|PNPLA8|MCEE|CES4A|GPLD1|ACOX2|CES5A|ABHD6|MECR|SLC27A2|LIPH|ABHD16A|PNLIPRP3|PLCB4|CYP4F2|FAAH2|CYP19A1|ADRA2A|DAGLA|CNR1|YWHAH|HSD17B11|ACACB|SCARF1|APOE|PLA2G4D|TWIST1|PAFAH1B2|PLA2G2F|DDHD1|LRP1|AKT2|PNPLA7|ACER1|PNPLA4|CIDEA|MTOR|PLD1|SMPD3|LPL|PRKCD|CPT2|THRA|ACBD5
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN,2.60081107388966e-08,1.83565245595132e-05,0.73376198835648,0.498318506179281,2.37668003733983,85,IGLV1-40|IGHV2-5|IGHV3-33|IGHV5-51|IGHV3-64|IGHV4-34|IGHM|IGKV3D-20|IGLV1-44|IGHV3-20|IGHV2-70D|IGLC3|IGHG4|IGKV1-16|IGHV4-31|IGKC|IGHV1-69-2|IGHV3-53|C8G|IGHV3-30|IGHA1|IGLV2-8|IGKV4-1|IGKV3-15|IGHV3-15|IGHV3-49|IGLV3-21|ZP3|IGLC2|IGHA2|IGHV1-24|IGLL5|IGHV1-69
GOBP_ORGANIC_HYDROXY_COMPOUND_METABOLIC_PROCESS,4.1479965114134e-08,2.43971328146298e-05,0.719512826338911,-0.459177381332626,-1.51488745674385,405,SLC24A5|ADH1A|ADH1B|ITPK1|CYP3A5|RBP4|DCT|PLPP3|CYP27A1|SCD|OCA2|SULT1A4|DIO3|NFYC|ABCB11|NAPEPLD|PLCD3|UGT2A2|ALDH1A2|PTH1R|CYP1B1|SULT1C4|CYP3A4|MOGAT2|AKR1C4|ALOX15|MSMO1|SULT1B1|MVK|EPHX2|GDPD1|ALDH1A1|TM7SF2|SPR|ASIP|MALRD1|CYP3A7|TG|TYRP1|IDH1|LEP|MAOA|PPIP5K1|LDHD|CTSK|ITGAM|SCARB1|PLB1|HMGCS2|HPN|GPD1|AWAT2|PECR|NR4A2|AKR1C1|CYP2E1|CES1|AKR1C3|MOGAT1|CITED1|RETSAT|DHRS3|CYP11A1|LIPE|NPC1|ACSS2|MOXD1|SERPINA12|SNCAIP|TRPC1|INSIG2|ACOX2|DUOX2|IGF1|NUDT4|IP6K2|SLC27A2|SP1|SC5D|LCAT|GK5|AKR1C2|PLCB4|CYP4F2|CYP19A1|NPR1|HMGCR|HSD17B7|MAOB|RDH12|ACACB|SCARF1|CETP|APOE|ACER1|PNPLA4|IDH3G|KIT|REST|MFSD12|ALOX15B|SOAT1|MINPP1|HMGCS1|CYP51A1|INPP5K|PRKN|GCNT4|IP6K1|RNF180|EBP|RDH14|ELOVL6|PCBD2|SNCA|INPP1|SLC16A10|IDH2|PLD4|DGKQ|LGMN|ALDH3B2|BTBD9|DGAT2|FASN|OSBPL1A|FGF2|SMPD1|ITGB2|PLTP|LIPA|PLCB2|NPC2|HSD17B1|MED1|HSD17B10|INPP5D
GOBP_REGULATION_OF_B_CELL_ACTIVATION,6.23034873462755e-08,3.14098581207152e-05,0.704975715167238,0.395349494752261,2.04045685881028,139,IGHV2-5|IGHV3-33|IGHV5-51|IGHV3-64|FOXP3|IGHV4-34|IGHM|IGHV3-20|CD38|HMGB3|IGHV2-70D|IGLC3|IGHG4|TGFB1|IGHV4-31|IGKC|CD19|IGHV1-69-2|CTLA4|MZB1|CARD11|IGHV3-53|BAD|CDKN1A|IGHV3-30|IGHA1|BLK|TNFRSF4|TBX21|BANK1|IGHV3-15|IGHV3-49|TNFRSF21|CASP3|CD22|EXOSC3|IGLC2|IGHA2|NSD2|IGHV1-24|IGLL5|ZFP36L1|IGHV1-69
GOBP_PHAGOCYTOSIS_RECOGNITION,4.63754915637252e-07,0.000204573887160483,0.674962860011025,0.542044905285764,2.44131776852827,58,IGHV2-5|IGHV3-33|IGHV5-51|IGHV3-64|IGHV4-34|IGHM|IGHV3-20|IGHV2-70D|IGLC3|IGHG4|IGHV4-31|IGKC|IGHV1-69-2|LBP|IGHV3-53|IGHV3-30|IGHA1|IGHV3-15|IGHV3-49|IGLC2|IGHA2|FCN3|IGHV1-24|IGLL5|IGHV1-69
GOBP_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY,1.3971163541535e-06,0.000448220328527974,0.643551836150722,0.409218040405106,1.9511573606899,109,IGLV1-40|IGHV2-5|IGHV3-33|IGHV4-34|IGKV3D-20|IGLV1-44|IGLC3|IGHG4|IGKV1-16|IGKC|IGHV3-53|VAV2|IGHV3-30|IGLV2-8|IGKV4-1|BLK|PLSCR1|IGKV3-15|CRK|IGLV3-21|CD3G|IGLC2|SRC|IGHV1-69|RAPGEF1|LYN|FCGR1A|IGHV4-39|ARPC4|ARPC5
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS,1.39468249805592e-06,0.000448220328527974,0.643551836150722,-0.480150219629231,-1.55745233435881,246,GLS2|BHMT2|FA2H|ADIPOQ|PLP1|CYP27A1|SCD|LIPC|CTH|UPB1|ABCB11|ALOXE3|ALDH1A2|GPT|PLA2G5|CYP3A4|AKR1C4|ALOX15|MTR|EPHX2|ACSM3|FADS2|PTGDS|NAALAD2|MALRD1|ASNS|TBXAS1|GATM|ASS1|ELOVL5|PECR|PRKAG3|HPGD|MCAT|BCAT2|CYP2E1|CDO1|CES1|APOC1|AKR1C3|HACD3|ACSF3|ACSM6|ACSS2|BCAT1|CBSL|PNPLA8|PTGIS|HSD17B8|ACOX2|ASPA|MECR|SLC27A2|DPYD|LIPH|ACSM5|GSTM2|TECR|FADS1|ACACB|MLXIPL|ACSBG1|DEGS1|PDK4|ELOVL3|CARNS1|LTC4S|ALOX15B|GGT6|LPL|GPT2|SUCLA2|APIP|ELOVL6|SYK|CBS|PLA2G3|GSTM4|FASN|OSBPL1A|PHGDH|FADS3|PRKAB1|HSD17B10|GGT2|HACD1|ELOVL7|SCP2|SRR|GPX4|NAT8L|GLUD2|ABHD2|SLC27A5|ABCD1|ELOVL1|HAAO|NOXRED1|MTHFD2L|HACD2|IDO1|FOLH1
