"","S02_Normal","S03_Normal","S05_Normal","S06_Normal","S10_Normal","S02_Tumour","S03_Tumour","S05_Tumour","S06_Tumour","S10_Tumour"
"CHAC1",0,1.96778884849226,0.814181419550085,0,18.3685950019997,56.589976623672,7.14629183322381,53.4181148396608,52.9461825219637,14.9433229782976
"GLRX",543.210619057303,1316.45073964132,359.868187441138,168.552771439022,720.809003871573,106.892178066936,184.782688830501,49.5472369527289,0,186.79153722872
"MEFV",27.6342611439035,25.5812550303994,0,16.2243309406546,36.7371900039993,25.849742408344,0,38.7087788693194,0,18.679153722872
"STXBP1",66.3222267453683,84.6149204851671,94.4450446678099,106.35950283318,76.6413791462745,119.467728427752,58.1912334991082,68.9016263873886,65.0481670984125,74.7166148914881
"AKAP8L",21.3178585967255,35.4201992728607,21.9828983278523,40.5608273516364,60.8063834548955,18.164683854512,0,31.7411986728419,0,29.8866459565952
"AKR1C1",94.746038207669,47.2269323638142,27.6821682647029,58.5878617301415,65.2401822484816,382.855644318176,22.4597743329891,0,0,16.1885998931557
"CTSL",987.72744831495,537.206355638387,1661.74427730172,711.166506232025,825.319975434675,1336.50154668006,798.342887654432,718.434935814569,1108.84433681713,912.787978591012
"IGFBP4",1004.30800500129,924.860758791362,2536.98930331807,4024.53542500126,535.856254196266,1272.22651150255,2163.28462780018,880.237631488324,1438.62341652536,570.336827005025
"COQ8A",39.4775159198621,29.5168327273839,0,14.421627502804,19.0019948296548,23.055175661496,1.02089883331769,0,37.8187018014026,28.6413690417371
"CD4",22.1074089151228,11.8067330909536,13.8410841323514,5.40811031355152,4.43379879358613,9.08234192725599,10.2089883331769,14.7093359703414,0,4.98110765943254
"FDFT1",66.3222267453683,76.7437650911981,32.5672567820034,2.70405515677576,39.9041891422751,18.863325541224,47.9822451659313,34.8379009823875,71.099159386637,21.1697075525883
"MAPK1",67.9013273821628,53.130298909291,51.2934294316554,2.70405515677576,3.1669991382758,70.562810357912,13.2716848331299,71.2241531195478,0,0
"STIP1",51.3207706958207,43.2913546668297,0,36.9554204759354,44.9713877635164,19.561967227936,0,9.29010692863666,0,83.433553295495
"AGRN",446.095929894442,486.043845577588,306.946395170382,555.232658857956,741.077798356538,617.599251053408,1443.55095031121,2055.43615796086,2986.16469423875,1093.35313124544
"ABCG1",27.6342611439035,21.6456773334148,0,14.421627502804,13.9347962084135,26.548384095056,9.18808949985919,31.7411986728419,95.3031285395346,12.4527691485813
"COPS3",62.3744751533821,41.3235658183374,21.1687169083022,41.4621790705616,84.8755769057916,87.3302108389999,20.4179766663538,51.869763684888,0,57.2827380834742
"PFDN2",34.7402140094786,43.2913546668297,57.806880788056,49.5743445408889,55.7391848336542,76.85058553832,54.1076381658374,35.6120765597739,0,102.112707018367
"TSC22D3",524.261411415769,417.171235880359,170.978098105518,440.760990554449,559.925447647162,249.415082156184,661.542443989862,162.576871251142,81.6883958910297,504.337150517544
"BCL2L2",88.4296356604911,234.166872970579,223.899890376273,74.812192670796,95.0099741482742,206.797939266752,373.648972994274,368.507574835921,216.322974304023,41.0941381903184
