	SM200303_4_005	SM200303_4_006	SM200303_4_017	SM200303_4_018	SM200303_4_029	SM200303_4_041	SM200303_4_042	SM200303_4_053	SM200303_4_065	SM200303_4_066	SM200303_4_078	SM200303_4_089	SM200303_4_090	diploid
SM200303_4_005	0.0	39.0	56.0	27.0	36.0	41.0	48.0	47.0	50.0	47.0	43.0	39.0	35.0	90.0
SM200303_4_006	39.0	0.0	60.0	28.0	29.0	39.0	46.0	38.0	43.0	42.0	38.0	40.0	37.0	85.0
SM200303_4_017	56.0	60.0	0.0	55.0	53.0	56.0	67.0	60.0	65.0	53.0	60.0	49.0	59.0	91.0
SM200303_4_018	27.0	28.0	55.0	0.0	30.0	33.0	44.0	35.0	37.0	37.0	35.0	32.0	27.0	88.0
SM200303_4_029	36.0	29.0	53.0	30.0	0.0	33.0	44.0	41.0	42.0	31.0	33.0	39.0	36.0	82.0
SM200303_4_041	41.0	39.0	56.0	33.0	33.0	0.0	49.0	43.0	39.0	33.0	34.0	37.0	36.0	85.0
SM200303_4_042	48.0	46.0	67.0	44.0	44.0	49.0	0.0	61.0	54.0	53.0	46.0	53.0	46.0	97.0
SM200303_4_053	47.0	38.0	60.0	35.0	41.0	43.0	61.0	0.0	50.0	45.0	48.0	41.0	45.0	84.0
SM200303_4_065	50.0	43.0	65.0	37.0	42.0	39.0	54.0	50.0	0.0	48.0	42.0	38.0	41.0	91.0
SM200303_4_066	47.0	42.0	53.0	37.0	31.0	33.0	53.0	45.0	48.0	0.0	45.0	44.0	45.0	83.0
SM200303_4_078	43.0	38.0	60.0	35.0	33.0	34.0	46.0	48.0	42.0	45.0	0.0	45.0	39.0	89.0
SM200303_4_089	39.0	40.0	49.0	32.0	39.0	37.0	53.0	41.0	38.0	44.0	45.0	0.0	43.0	83.0
SM200303_4_090	35.0	37.0	59.0	27.0	36.0	36.0	46.0	45.0	41.0	45.0	39.0	43.0	0.0	89.0
diploid	90.0	85.0	91.0	88.0	82.0	85.0	97.0	84.0	91.0	83.0	89.0	83.0	89.0	0.0
