	SM200303_4_007	SM200303_4_019	SM200303_4_031	SM200303_4_032	SM200303_4_043	SM200303_4_044	SM200303_4_055	SM200303_4_056	SM200303_4_067	SM200303_4_068	SM200303_4_079	SM200303_4_080	SM200303_4_091	SM200303_4_092	diploid
SM200303_4_007	0.0	62.0	60.0	60.0	90.0	52.0	44.0	80.0	63.0	36.0	55.0	78.0	211.0	78.0	170.0
SM200303_4_019	62.0	0.0	81.0	75.0	94.0	62.0	66.0	84.0	77.0	59.0	68.0	83.0	207.0	79.0	160.0
SM200303_4_031	60.0	81.0	0.0	77.0	96.0	70.0	57.0	85.0	75.0	61.0	71.0	85.0	223.0	92.0	178.0
SM200303_4_032	60.0	75.0	77.0	0.0	83.0	60.0	62.0	76.0	51.0	56.0	63.0	76.0	218.0	77.0	177.0
SM200303_4_043	90.0	94.0	96.0	83.0	0.0	82.0	92.0	116.0	89.0	83.0	99.0	98.0	207.0	97.0	162.0
SM200303_4_044	52.0	62.0	70.0	60.0	82.0	0.0	54.0	72.0	61.0	42.0	62.0	67.0	204.0	74.0	162.0
SM200303_4_055	44.0	66.0	57.0	62.0	92.0	54.0	0.0	88.0	59.0	45.0	60.0	65.0	212.0	78.0	172.0
SM200303_4_056	80.0	84.0	85.0	76.0	116.0	72.0	88.0	0.0	79.0	71.0	82.0	96.0	226.0	94.0	187.0
SM200303_4_067	63.0	77.0	75.0	51.0	89.0	61.0	59.0	79.0	0.0	58.0	76.0	78.0	213.0	68.0	172.0
SM200303_4_068	36.0	59.0	61.0	56.0	83.0	42.0	45.0	71.0	58.0	0.0	52.0	64.0	203.0	68.0	160.0
SM200303_4_079	55.0	68.0	71.0	63.0	99.0	62.0	60.0	82.0	76.0	52.0	0.0	80.0	205.0	77.0	162.0
SM200303_4_080	78.0	83.0	85.0	76.0	98.0	67.0	65.0	96.0	78.0	64.0	80.0	0.0	217.0	93.0	173.0
SM200303_4_091	211.0	207.0	223.0	218.0	207.0	204.0	212.0	226.0	213.0	203.0	205.0	217.0	0.0	212.0	117.0
SM200303_4_092	78.0	79.0	92.0	77.0	97.0	74.0	78.0	94.0	68.0	68.0	77.0	93.0	212.0	0.0	170.0
diploid	170.0	160.0	178.0	177.0	162.0	162.0	172.0	187.0	172.0	160.0	162.0	173.0	117.0	170.0	0.0
