Gene_name	S02_Normal	S03_Normal	S05_Normal	S06_Normal	S10_Normal	S02_Tumour	S03_Tumour	S05_Tumour	S06_Tumour	S10_Tumour
CHAC1	0	1	1	0	29	81	7	69	35	12
GLRX	688	669	442	187	1138	153	181	64	0	150
MEFV	35	13	0	18	58	37	0	50	0	15
STXBP1	84	43	116	118	121	171	57	89	43	60
AKAP8L	27	18	27	45	96	26	0	41	0	24
AKR1C1	120	24	34	65	103	548	22	0	0	13
CTSL	1251	273	2041	789	1303	1913	782	928	733	733
IGFBP4	1272	470	3116	4465	846	1821	2119	1137	951	458
RAP1GAP	0	0	0	0	9	4	2	0	0	3
COQ8A	50	15	0	16	30	33	1	0	25	23
CD4	28	6	17	6	7	13	10	19	0	4
FDFT1	84	39	40	3	63	27	47	45	47	17
MAPK1	86	27	63	3	5	101	13	92	0	0
STIP1	65	22	0	41	71	28	0	12	0	67
AGRN	565	247	377	616	1170	884	1414	2655	1974	878
ABCG1	35	11	0	16	22	38	9	41	63	10
COPS3	79	21	26	46	134	125	20	67	0	46
HTR4	0	0	0	0	0	0	0	0	0	0
PFDN2	44	22	71	55	88	110	53	46	0	82
TSC22D3	664	212	210	489	884	357	648	210	54	405
BCL2L2	112	119	275	83	150	296	366	476	143	33
ERBB3	316	132	275	129	309	91	46	159	101	114
ABL1	71	11	20	43	34	36	6	31	0	7
SQLE	296	41	111	88	269	130	161	496	98	85
AFMID	133	97	159	181	130	136	87	140	127	65
CLN3	0	6	26	5	1	13	0	21	0	1
GTF2E2	75	18	89	61	64	117	67	92	0	172
MUC1	61	190	80	49	127	146	23	15	0	157
TOP2A	66	15	64	11	31	130	194	274	37	37
ALDH18A1	107	54	0	228	186	211	122	107	128	81
ATG3	151	54	135	73	205	170	75	104	47	31
ECH1	14	95	69	17	68	0	70	46	41	26
AARS	167	172	371	242	639	256	483	556	56	817
RPS5	1454	1010	1926	1409	1389	1328	849	1078	535	602
GRK2	365	90	500	170	234	339	203	313	282	205
CHD1L	229	73	327	118	212	264	89	200	161	146
GNS	465	192	366	541	625	471	318	486	274	274
MFAP1	68	22	96	22	83	45	73	116	36	107
