logFC	AveExpr	t	P.Value	adj.P.Val	B
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	-0.55796253539777	0.0415467143311927	-8.55971852627366	3.45420949361706e-09	5.69944566446814e-07	11.144663276312
KEGG_RETINOL_METABOLISM	-0.542258567412793	0.0475522962041422	-7.88420190449223	1.72994470798381e-08	1.1883163833215e-06	9.5798750501418
KEGG_HOMOLOGOUS_RECOMBINATION	0.672468523711495	-0.0836175666133302	7.79291753493755	2.16057524240274e-08	1.1883163833215e-06	9.36353840901424
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	-0.537282396874112	0.0337883648056191	-7.20539177572729	9.26633227809763e-08	3.38270774834083e-06	7.94442180254831
KEGG_RNA_DEGRADATION	0.504481507006762	-0.0493929752558713	7.16528577826378	1.02506295404268e-07	3.38270774834083e-06	7.84591604144721
KEGG_MISMATCH_REPAIR	0.650498289859462	-0.0730445426814019	6.83078434338029	2.39684135095596e-07	6.27838491272835e-06	7.01666710598303
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.661605931614599	-0.0878417004370553	6.78958466231341	2.66355723570294e-07	6.27838491272835e-06	6.9136141346679
KEGG_SPLICEOSOME	0.604727201871725	-0.038449015889003	6.52841712103436	5.22178634962899e-07	9.38367204665316e-06	6.25595499202916
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	-0.401285631982468	0.035828757003195	-6.52188386606994	5.31096127191346e-07	9.38367204665316e-06	6.23940920559151
KEGG_CELL_CYCLE	0.492797868459949	-0.0537881749617685	6.49550205272045	5.68707396766858e-07	9.38367204665316e-06	6.17255097152723
KEGG_STEROID_HORMONE_BIOSYNTHESIS	-0.430439299265414	0.0340887695986732	-6.37939018573232	7.69201947962155e-07	1.15380292194323e-05	5.87745410360614
KEGG_CALCIUM_SIGNALING_PATHWAY	-0.401689869561599	0.0363999629193064	-6.23801107762693	1.11303941724024e-06	1.53042919870534e-05	5.51637133748044
KEGG_DNA_REPLICATION	0.650310075683949	-0.0712949003182221	6.1449759127538	1.42086682959617e-06	1.80340789910283e-05	5.27776114137083
KEGG_ARACHIDONIC_ACID_METABOLISM	-0.423945530247764	0.0461268894744567	-5.88022832455425	2.85822886923371e-06	3.36862688159687e-05	4.59484786249758
KEGG_PYRIMIDINE_METABOLISM	0.408074685684359	-0.0522258057071909	5.79072146248171	3.62464803107209e-06	3.9871128341793e-05	4.36280010282829
KEGG_HEMATOPOIETIC_CELL_LINEAGE	-0.56212364861042	0.0508131340467277	-5.71092848907809	4.4817514772513e-06	4.6218062109154e-05	4.15550307817688
KEGG_FATTY_ACID_METABOLISM	-0.524448608928126	-0.011910002587303	-5.54593202482808	6.96034879042149e-06	6.58540575033367e-05	3.72572174755797
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	-0.451608208147987	0.0607713042552383	-5.53409726379726	7.184079000364e-06	6.58540575033367e-05	3.69484288429675
KEGG_PPAR_SIGNALING_PATHWAY	-0.475052061352197	0.0151359456175641	-5.486626549155	8.15676018486887e-06	7.08350226580718e-05	3.57092263450103
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	-0.485857953423684	0.0401183910887738	-5.32225611008843	1.26718243594873e-05	0.00010454255096577	3.14119333645488
KEGG_RNA_POLYMERASE	0.41423280644011	-0.059849378342471	5.29165171140495	1.37568128063202e-05	0.00010808924347823	3.06109166708698
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	-0.356088508603722	0.0525081631199184	-5.26315145187113	1.48510547615215e-05	0.000108396749832491	2.98647766045887
KEGG_FOCAL_ADHESION	-0.368230769955707	0.014322995267857	-5.25671984566165	1.51098499766502e-05	0.000108396749832491	2.96963726662951
KEGG_DILATED_CARDIOMYOPATHY	-0.371117570541697	0.0423535722638928	-5.17551611780223	1.87948977173955e-05	0.000129214921807094	2.75695312937563
KEGG_BASE_EXCISION_REPAIR	0.518678599034408	-0.0355249948157359	5.15467561705715	1.98782665444436e-05	0.000131196559193328	2.70235420685672
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	-0.354373091346996	0.0120254870998714	-5.07993996228802	2.4305081873132e-05	0.000154243788810261	2.50653030920394
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	-0.392287467171428	0.0036515663555673	-4.97583649461687	3.21665980933277e-05	0.000196573655014781	2.23374903860775
KEGG_GAP_JUNCTION	-0.33380410202625	0.0269946880202669	-4.86448686320978	4.34147926857564e-05	0.000255837171183922	1.94209964101263
KEGG_SELENOAMINO_ACID_METABOLISM	0.372749356483423	-0.0617668110172907	4.83000589971993	4.76396348021409e-05	0.000265860230823674	1.85183548044707
KEGG_GNRH_SIGNALING_PATHWAY	-0.285819166516782	0.0224264315029099	-4.8246005275691	4.83382237861226e-05	0.000265860230823674	1.83768807080555
KEGG_LINOLEIC_ACID_METABOLISM	-0.377307073220803	0.058189770623489	-4.72715305316716	6.284218539687e-05	0.000334482599693018	1.58279662155513
KEGG_ABC_TRANSPORTERS	-0.326682900547841	0.0113134465477805	-4.44510974501419	0.000134148901188157	0.000691705271751435	0.847631226970306
KEGG_CELL_ADHESION_MOLECULES_CAMS	-0.416941068799198	0.0292124679530613	-4.40889105050469	0.00014783761513905	0.000714295616226023	0.753611726255413
KEGG_JAK_STAT_SIGNALING_PATHWAY	-0.383718349255423	0.0295181547189808	-4.40497945972342	0.000149396546056159	0.000714295616226023	0.743464190554588
KEGG_STARCH_AND_SUCROSE_METABOLISM	-0.349609633093022	0.0213718053040948	-4.39972284957103	0.000151517251926732	0.000714295616226023	0.729829425665787
KEGG_N_GLYCAN_BIOSYNTHESIS	0.402514263268398	-0.0449491149197109	4.33838054224797	0.000178586398452679	0.000811315944817965	0.570898908904549
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	-0.504330002326434	0.0352991114816714	-4.33015426066222	0.000182563649849599	0.000811315944817965	0.54961208583779
KEGG_PROTEIN_EXPORT	0.45855505791743	-0.0667814687903403	4.32148819968246	0.000186848520624743	0.000811315944817965	0.527194335139773
