Gene	TCGA.A7.A0CE.01	TCGA.A7.A0CH.01	TCGA.A7.A0D9.01	TCGA.A7.A0DB.01	TCGA.A7.A0DC.01	TCGA.A7.A13E.01	TCGA.A7.A13F.01	TCGA.A7.A13G.01	TCGA.AC.A23H.01	TCGA.AC.A2FB.01	TCGA.A7.A0CE.11	TCGA.A7.A0CH.11	TCGA.A7.A0D9.11	TCGA.A7.A0DB.11	TCGA.A7.A0DC.11	TCGA.A7.A13E.11	TCGA.A7.A13F.11	TCGA.A7.A13G.11	TCGA.AC.A23H.11	TCGA.AC.A2FB.11
ARHGEF10L	9.5751	9.3815	10.9025	9.4012	10.4153	10.757	8.5945	10.322	8.8195	9.9276	9.998	10.0819	9.5692	9.953	10.0876	9.6265	10.3847	8.599	9.5065	9.909
HIF3A	4.1385	1.2069	2.8431	3.9239	2.1237	3.0461	1.3821	1.5278	0.3758	4.6244	6.1594	8.5517	9.3537	8.4743	8.4513	8.1546	8.2842	10.0837	8.6655	8.1872
RNF17	1.4303	0	0	0	0	0	0	0	0	0	4.1813	0	0	0	0	0	0	0	0	0
RNF10	11.4626	11.9762	11.7959	11.9896	12.218	11.1565	12.1455	12.2527	11.763	11.8653	11.7961	11.9788	11.9178	11.8456	11.7447	11.9869	11.7907	11.8645	11.6472	11.8263
RNF11	10.5215	11.5613	11.164	11.4222	10.7349	10.7619	11.286	11.374	11.4354	11.3595	11.2214	11.5315	11.9225	11.5743	11.8232	11.9344	11.5187	12.2617	11.6499	11.5754
RNF13	10.0002	10.2772	10.5207	10.7523	10.2759	10.3025	10.5567	10.4524	10.475	11.0138	10.3894	10.5527	10.8396	11.0165	10.6691	10.9178	10.6503	11.2799	11.2439	11.0725
GTF2IP1	13.3826	13.0836	14.2764	12.7633	13.7537	12.9691	12.5112	13.2394	11.8105	12.6487	12.6967	12.3518	12.6587	12.3628	13.0786	12.7623	12.4562	12.9658	12.412	12.6265
REM1	3.0213	2.1664	4.7293	3.5041	3.69	5.2856	3.6141	2.7906	3.6214	4.6432	6.0668	6.8308	6.2643	5.9136	5.4552	6.6016	6.1689	5.6615	5.3348	6.3661
MTVR2	1.2363	0	0	0	0	0	0	0.3438	0	0	0	0	0	0	0	0	0	0	0	0.9275
RTN4RL2	5.4388	4.6681	5.0847	6.0723	5.4408	7.6592	4.4518	6.3993	4.796	4.1584	4.7395	5.0431	3.8317	3.8989	4.3949	4.2884	4.2104	4.5211	4.8355	4.6296
C16orf13	8.5321	9.2378	8.3241	9.7901	9.9519	9.2157	9.0496	9.3231	8.142	8.5055	9.2027	9.1692	8.0005	7.8639	8.3207	8.1546	8.4415	8.2323	8.4813	8.4907
C16orf11	0	0.5222	0	0	3.3446	0	0	1.0539	0	0	0	0	0	0	2.8192	0	0	0	0	0
FGFR1OP2	8.8046	8.692	8.8169	8.4404	8.8725	9.0857	8.4968	8.7102	8.1113	9.0188	8.6757	8.8225	9.1043	9.287	9.0084	8.9926	9.1569	9.4878	9.3148	9.2266
TSKS	1.2363	0	0.4974	2.0234	0	3.188	0	0	0.3758	0	2.8139	2.0032	3.8317	5.4352	2.9981	1.5615	3.4434	3.9672	2.8954	3.1404
ATRX	11.0147	11.6018	10.9845	10.8282	11.0264	10.0038	11.0096	11.6617	10.5333	11.5017	10.5861	10.4081	11.3873	11.1137	11.3565	11.4722	11.2003	11.8978	11.4988	11.0473
PMM2	10.6043	9.7786	9.6193	10.428	10.5823	10.2922	9.5782	10.4538	10.0521	9.7162	9.4803	9.364	9.1955	9.0711	9.38	9.2981	9.2868	8.8013	9.1319	9.1484
LOC100272146	5.5474	5.4934	5.9621	4.7782	5.9123	5.2537	4.9966	5.3126	4.9975	4.6618	5.3122	5.3792	3.8317	4.9251	5.3102	4.7733	5.3404	5.1851	5.515	4.5941
ASS1	11.426	7.3814	11.355	11.1462	7.0239	10.636	11.5897	8.5203	12.4404	11.3356	11.0713	12.296	12.6875	12.7287	11.8191	11.8913	12.5054	13.5598	11.1803	11.6375
NCBP1	10.2452	10.3001	9.578	10.129	10.1373	10.3488	9.8434	10.2391	11.2475	9.9182	9.7414	9.2174	9.3028	9.7752	9.5283	9.6013	9.3564	9.9422	9.9617	9.4308
ZNF709	7.2239	7.2177	7.8214	7.2693	8.5821	7.9972	6.2113	6.4356	6.529	7.1565	6.9488	6.3684	5.5014	5.974	6.9381	6.5042	6.6729	6.132	7.7287	7.1802
ZNF708	7.9629	8.1698	7.7349	7.7724	7.4234	8.4907	6.5816	7.7109	8.0783	7.6301	7.6871	6.6042	6.9147	7.2531	7.69	7.4284	7.6465	7.4683	7.9742	7.8926
RBM14	10.23	9.9287	9.8602	10.1215	9.5784	10.023	9.7742	10.3337	10.3704	9.8256	10.0496	9.9981	9.3014	9.5247	9.2882	9.6699	9.7612	9.5365	9.822	9.7114
NCBP2	10.4461	11.0317	10.938	11.4461	11.5979	10.5299	11.1293	10.7513	10.9066	10.7357	10.8851	10.3981	10.6682	10.4931	10.8325	10.5945	10.5134	10.5046	10.7324	10.6552
DISC1	7.1345	6.6502	6.3481	6.4274	5.0468	8.0447	6.5008	6.1336	6.3616	7.8283	7.4431	7.0473	7.5259	7.8671	7.274	7.9161	8.0229	7.6516	7.7671	7.5601
CAMK1	6.51	7.5314	7.3366	8.5185	6.8134	6.5288	7.6253	7.6766	6.0732	7.3554	8.3422	9.812	10.4063	9.916	9.4026	9.456	9.4129	10.5672	8.3831	8.9372
RPL37	13.576	12.9164	12.1931	13.9367	13.3022	13.9287	12.453	13.0121	12.3204	13.4576	14.0697	13.6715	13.0071	13.045	12.7898	13.1052	13.639	13.3219	14.157	13.7678
SPR	9.3841	9.3567	10.1849	9.3309	9.8173	8.7785	11.4802	10.7132	11.0514	10.0762	9.5681	9.9625	9.5653	9.676	9.6006	9.2787	9.4244	9.169	8.9126	9.3232
ZNF700	8.4407	8.8353	8.2577	8.4966	9.4663	10.2259	8.1946	8.9884	8.3654	8.192	8.7144	8.1451	7.5179	7.7683	8.278	7.9102	8.0743	7.9414	8.3339	8.131
ZNF707	7.8143	7.552	9.6178	7.4945	9.2671	8.4821	7.427	7.3744	8.0067	7.0405	8.0138	7.4555	6.7942	7.066	7.5678	6.287	6.6537	5.9061	5.8818	7.15
CAMK4	8.0485	3.1457	4.538	3.4032	2.6994	1.8328	2.2062	2.8456	2.6681	6.2702	2.8139	2.0032	2.9296	0.5998	2.9981	1.7822	2.5703	2.0886	2.5872	3.4492
ZNF704	6.7292	8.0958	7.9495	8.0951	9.5345	4.2101	5.9552	7.8024	9.9357	8.2938	7.8646	7.7708	9.7993	9.3281	9.3853	9.3783	9.3066	9.5209	9.4165	8.6341
LOC339240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7355	0	0	0	0	0
GOLGA6B	0.7467	1.2069	1.6128	2.1534	1.7834	2.6146	1.3821	2.4073	0.3758	1.97	0.3978	1.5264	2.4809	0	0.9501	0.9824	0.9246	1.7824	1.8093	1.1393
RNF115	9.1766	9.9368	8.9974	9.1284	8.8921	8.8577	9.4956	10.3721	9.4554	9.3152	8.8053	8.5502	8.7943	8.7268	9.1345	8.718	8.8869	9.0356	9.0229	8.9319
RNF112	3.9296	3.0728	2.7578	2.67	2.5569	3.5454	1.3821	2.0802	1.1311	2.0847	4.0213	4.4879	4.908	5.8634	3.2308	4.0542	5.1159	4.5958	4.0344	4.181
ZC3H14	10.6971	10.5486	11.2213	10.6317	11.0872	9.5945	10.1099	10.7007	10.3268	10.2765	10.344	10.0454	10.4066	10.0509	10.2571	10.2685	10.3774	10.555	10.6368	10.2902
SPN	5.2843	6.5122	5.7903	7.827	2.6299	5.4212	6.6175	7.155	6.33	9.7286	7.11	7.9765	7.2452	7.5475	6.3508	6.9762	7.0844	6.4993	7.5584	7.808
HMGCLL1	5.3214	2.3002	2.1022	2.2726	6.4745	7.381	6.5008	0.6211	1.1311	5.0199	6.6445	4.6262	5.2153	3.6253	5.0511	4.92	5.0971	4.9585	6.2506	5.7447
