sample_id	chrom	start	end	cn_a	cn_b
SM200303_4_009	chr1	0	4375662	3	1
SM200303_4_009	chr1	4375662	77725332	3	1
SM200303_4_009	chr1	77725332	84778760	3	1
SM200303_4_009	chr1	84778760	87850374	4	1
SM200303_4_009	chr1	87850374	119658556	3	1
SM200303_4_009	chr1	119658556	121598120	3	1
SM200303_4_009	chr1	121598120	125111008	3	1
SM200303_4_009	chr1	125111008	150442371	3	1
SM200303_4_009	chr1	150442371	152162876	3	1
SM200303_4_009	chr1	152162876	157599548	3	1
SM200303_4_009	chr1	157599548	159704215	3	1
SM200303_4_009	chr1	159704215	169688395	3	1
SM200303_4_009	chr1	169688395	177476021	3	1
SM200303_4_009	chr1	177476021	182792164	3	1
SM200303_4_009	chr1	182792164	201296461	3	1
SM200303_4_009	chr1	201296461	204240371	3	1
SM200303_4_009	chr1	204240371	206444294	3	1
SM200303_4_009	chr1	206444294	207755279	4	1
SM200303_4_009	chr1	207755279	221794409	4	1
SM200303_4_009	chr1	221794409	242274459	4	1
SM200303_4_009	chr1	242274459	248956422	4	1
SM200303_4_009	chr2	0	4740974	4	1
SM200303_4_009	chr2	4740974	17311476	4	1
SM200303_4_009	chr2	17311476	44709743	4	1
SM200303_4_009	chr2	44709743	46848603	4	1
SM200303_4_009	chr2	46848603	62515362	4	1
SM200303_4_009	chr2	62515362	89651373	4	1
SM200303_4_009	chr2	89651373	90090458	4	1
SM200303_4_009	chr2	90090458	91998457	5	1
SM200303_4_009	chr2	91998457	94899675	5	1
SM200303_4_009	chr2	94899675	99828944	5	1
SM200303_4_009	chr2	99828944	101554690	3	1
SM200303_4_009	chr2	101554690	172927279	3	1
SM200303_4_009	chr2	172927279	179942939	4	1
SM200303_4_009	chr2	179942939	182496219	2	1
SM200303_4_009	chr2	182496219	184024781	4	1
SM200303_4_009	chr2	184024781	242193529	2	1
SM200303_4_009	chr3	0	25303880	2	1
SM200303_4_009	chr3	25303880	28570933	2	1
SM200303_4_009	chr3	28570933	46429338	2	1
SM200303_4_009	chr3	46429338	58549861	2	1
SM200303_4_009	chr3	58549861	59873450	2	1
SM200303_4_009	chr3	59873450	60946137	1	1
SM200303_4_009	chr3	60946137	64852045	2	1
SM200303_4_009	chr3	64852045	67341082	2	1
SM200303_4_009	chr3	67341082	79338532	2	1
SM200303_4_009	chr3	79338532	82894018	1	1
SM200303_4_009	chr3	82894018	89333363	1	1
SM200303_4_009	chr3	89333363	90765400	2	1
SM200303_4_009	chr3	90765400	91579284	2	1
SM200303_4_009	chr3	91579284	93489589	4	1
SM200303_4_009	chr3	93489589	115598215	4	1
SM200303_4_009	chr3	115598215	118170809	4	1
SM200303_4_009	chr3	118170809	136990904	4	1
SM200303_4_009	chr3	136990904	137433702	3	1
SM200303_4_009	chr3	137433702	144711196	4	1
SM200303_4_009	chr3	144711196	145319788	3	1
SM200303_4_009	chr3	145319788	147469717	5	1
SM200303_4_009	chr3	147469717	153049453	5	1
SM200303_4_009	chr3	153049453	154979966	5	1
SM200303_4_009	chr3	154979966	159187232	5	1
SM200303_4_009	chr3	159187232	161106066	6	1
SM200303_4_009	chr3	161106066	168975776	6	1
SM200303_4_009	chr3	168975776	170285364	6	1
SM200303_4_009	chr3	170285364	175151156	4	1
SM200303_4_009	chr3	175151156	182176052	6	1
SM200303_4_009	chr3	182176052	191891196	5	1
SM200303_4_009	chr3	191891196	195004627	5	1
SM200303_4_009	chr3	195004627	196418168	5	1
SM200303_4_009	chr3	196418168	198295559	6	1
SM200303_4_009	chr4	0	18561578	3	1
SM200303_4_009	chr4	18561578	20247906	3	1
SM200303_4_009	chr4	20247906	21340000	3	1
SM200303_4_009	chr4	21340000	22469056	3	1
SM200303_4_009	chr4	22469056	48730754	3	1
SM200303_4_009	chr4	48730754	49565832	3	1
SM200303_4_009	chr4	49565832	52053030	3	1
SM200303_4_009	chr4	52053030	63969132	3	1
SM200303_4_009	chr4	63969132	85900776	3	1
SM200303_4_009	chr4	85900776	86957746	3	1
SM200303_4_009	chr4	86957746	89534465	4	1
SM200303_4_009	chr4	89534465	90243774	3	1
SM200303_4_009	chr4	90243774	91296733	2	1
SM200303_4_009	chr4	91296733	146204143	3	1
SM200303_4_009	chr4	146204143	147366451	2	1
SM200303_4_009	chr4	147366451	148850001	2	1
SM200303_4_009	chr4	148850001	156426359	3	1
SM200303_4_009	chr4	156426359	186413280	2	1
SM200303_4_009	chr4	186413280	190214555	3	1
SM200303_4_009	chr5	0	2787521	5	1
SM200303_4_009	chr5	2787521	5155152	5	1
SM200303_4_009	chr5	5155152	9339900	5	1
SM200303_4_009	chr5	9339900	12511283	5	1
SM200303_4_009	chr5	12511283	28762066	5	1
