sample_id	chrom	start	end	cn_a	cn_b
SM200303_4_012	chr1	0	84618635	3	1
SM200303_4_012	chr1	84618635	87747491	3	1
SM200303_4_012	chr1	87747491	121599252	3	1
SM200303_4_012	chr1	121599252	125184451	3	1
SM200303_4_012	chr1	125184451	152481442	3	1
SM200303_4_012	chr1	152481442	157415782	3	1
SM200303_4_012	chr1	157415782	189893463	3	1
SM200303_4_012	chr1	189893463	191602856	3	1
SM200303_4_012	chr1	191602856	193253291	7	1
SM200303_4_012	chr1	193253291	202173971	5	1
SM200303_4_012	chr1	202173971	206445585	6	1
SM200303_4_012	chr1	206445585	214437618	6	1
SM200303_4_012	chr1	214437618	221283820	6	1
SM200303_4_012	chr1	221283820	224449926	8	1
SM200303_4_012	chr1	224449926	248956422	4	1
SM200303_4_012	chr2	0	4050715	5	1
SM200303_4_012	chr2	4050715	7564221	5	1
SM200303_4_012	chr2	7564221	26449461	4	1
SM200303_4_012	chr2	26449461	35971090	4	1
SM200303_4_012	chr2	35971090	38066604	4	1
SM200303_4_012	chr2	38066604	41037186	5	1
SM200303_4_012	chr2	41037186	53382070	5	1
SM200303_4_012	chr2	53382070	55016592	5	1
SM200303_4_012	chr2	55016592	68474650	5	1
SM200303_4_012	chr2	68474650	70664784	8	1
SM200303_4_012	chr2	70664784	71785478	8	1
SM200303_4_012	chr2	71785478	74117749	5	1
SM200303_4_012	chr2	74117749	89640334	4	1
SM200303_4_012	chr2	89640334	90189857	4	1
SM200303_4_012	chr2	90189857	99622518	5	1
SM200303_4_012	chr2	99622518	101044151	5	1
SM200303_4_012	chr2	101044151	115165390	4	1
SM200303_4_012	chr2	115165390	116845497	4	1
SM200303_4_012	chr2	116845497	158744526	4	1
SM200303_4_012	chr2	158744526	162686252	4	1
SM200303_4_012	chr2	162686252	199050872	4	1
SM200303_4_012	chr2	199050872	238967445	4	1
SM200303_4_012	chr2	238967445	242193529	4	1
SM200303_4_012	chr3	0	1528607	2	1
SM200303_4_012	chr3	1528607	2929050	2	1
SM200303_4_012	chr3	2929050	47963833	2	1
SM200303_4_012	chr3	47963833	53774851	2	1
SM200303_4_012	chr3	53774851	56182019	2	1
SM200303_4_012	chr3	56182019	58528616	2	1
SM200303_4_012	chr3	58528616	59827351	2	1
SM200303_4_012	chr3	59827351	60924469	1	1
SM200303_4_012	chr3	60924469	79348552	2	1
SM200303_4_012	chr3	79348552	89319534	1	1
SM200303_4_012	chr3	89319534	91389753	2	1
SM200303_4_012	chr3	91389753	93836936	4	1
SM200303_4_012	chr3	93836936	94615562	2	1
SM200303_4_012	chr3	94615562	96639147	2	1
SM200303_4_012	chr3	96639147	126722662	2	1
SM200303_4_012	chr3	126722662	129740659	2	1
SM200303_4_012	chr3	129740659	137039262	2	1
SM200303_4_012	chr3	137039262	144797786	2	1
SM200303_4_012	chr3	144797786	153468808	2	1
SM200303_4_012	chr3	153468808	156058294	2	1
SM200303_4_012	chr3	156058294	162193931	2	1
SM200303_4_012	chr3	162193931	176445765	2	1
SM200303_4_012	chr3	176445765	185187878	2	1
SM200303_4_012	chr3	185187878	186332998	1	1
SM200303_4_012	chr3	186332998	187660474	1	1
SM200303_4_012	chr3	187660474	192106332	1	1
SM200303_4_012	chr3	192106332	198295559	1	1
SM200303_4_012	chr4	0	3078482	3	1
SM200303_4_012	chr4	3078482	10164507	3	1
