sample_id	chrom	start	end	cn_a	cn_b
SM200303_4_007	chr1	0	18697015	4	1
SM200303_4_007	chr1	18697015	20455456	3	1
SM200303_4_007	chr1	20455456	21917395	3	1
SM200303_4_007	chr1	21917395	27389253	3	1
SM200303_4_007	chr1	27389253	28743681	3	1
SM200303_4_007	chr1	28743681	39121965	3	1
SM200303_4_007	chr1	39121965	42859541	3	1
SM200303_4_007	chr1	42859541	44496627	3	1
SM200303_4_007	chr1	44496627	52781830	3	1
SM200303_4_007	chr1	52781830	62904395	3	1
SM200303_4_007	chr1	62904395	73948011	2	1
SM200303_4_007	chr1	73948011	76107900	2	1
SM200303_4_007	chr1	76107900	84566283	2	1
SM200303_4_007	chr1	84566283	91583904	1	1
SM200303_4_007	chr1	91583904	95224267	2	1
SM200303_4_007	chr1	95224267	96401489	4	1
SM200303_4_007	chr1	96401489	98354967	4	1
SM200303_4_007	chr1	98354967	99423035	4	1
SM200303_4_007	chr1	99423035	104926988	5	1
SM200303_4_007	chr1	104926988	108667022	6	1
SM200303_4_007	chr1	108667022	112579538	8	1
SM200303_4_007	chr1	112579538	116318328	6	1
SM200303_4_007	chr1	116318328	119248972	6	1
SM200303_4_007	chr1	119248972	145702485	6	1
SM200303_4_007	chr1	145702485	147415041	6	1
SM200303_4_007	chr1	147415041	152184581	6	1
SM200303_4_007	chr1	152184581	152810688	6	1
SM200303_4_007	chr1	152810688	156554826	5	1
SM200303_4_007	chr1	156554826	157700325	5	1
SM200303_4_007	chr1	157700325	159666326	5	1
SM200303_4_007	chr1	159666326	160770362	5	1
SM200303_4_007	chr1	160770362	162434936	4	1
SM200303_4_007	chr1	162434936	168645789	4	1
SM200303_4_007	chr1	168645789	173054568	3	1
SM200303_4_007	chr1	173054568	181042069	3	1
SM200303_4_007	chr1	181042069	189182157	2	1
SM200303_4_007	chr1	189182157	190685903	2	1
SM200303_4_007	chr1	190685903	196564770	3	1
SM200303_4_007	chr1	196564770	203930112	2	1
SM200303_4_007	chr1	203930112	205463676	2	1
SM200303_4_007	chr1	205463676	206777340	2	1
SM200303_4_007	chr1	206777340	218851386	3	1
SM200303_4_007	chr1	218851386	226720543	3	1
SM200303_4_007	chr1	226720543	227954216	4	1
SM200303_4_007	chr1	227954216	230920058	4	1
SM200303_4_007	chr1	230920058	235330068	4	1
SM200303_4_007	chr1	235330068	236468496	4	1
SM200303_4_007	chr1	236468496	241833961	5	1
SM200303_4_007	chr1	241833961	248956422	4	1
SM200303_4_007	chr2	0	18059606	2	1
SM200303_4_007	chr2	18059606	20938000	3	1
SM200303_4_007	chr2	20938000	23355597	2	1
SM200303_4_007	chr2	23355597	30113477	4	1
SM200303_4_007	chr2	30113477	31921263	4	1
SM200303_4_007	chr2	31921263	37702950	5	1
SM200303_4_007	chr2	37702950	43572798	3	1
SM200303_4_007	chr2	43572798	50511630	4	1
SM200303_4_007	chr2	50511630	60673564	3	1
SM200303_4_007	chr2	60673564	62172815	3	1
SM200303_4_007	chr2	62172815	63977729	3	1
SM200303_4_007	chr2	63977729	75562508	4	1
SM200303_4_007	chr2	75562508	78378176	4	1
SM200303_4_007	chr2	78378176	80486712	4	1
SM200303_4_007	chr2	80486712	84315487	4	1
SM200303_4_007	chr2	84315487	90197447	5	1
SM200303_4_007	chr2	90197447	96179710	4	1
SM200303_4_007	chr2	96179710	100470172	4	1
SM200303_4_007	chr2	100470172	102457010	4	1
SM200303_4_007	chr2	102457010	104087216	4	1
SM200303_4_007	chr2	104087216	133047158	4	1
SM200303_4_007	chr2	133047158	138508638	5	1
SM200303_4_007	chr2	138508638	140349364	5	1
SM200303_4_007	chr2	140349364	142433322	5	1
SM200303_4_007	chr2	142433322	145106062	5	1
SM200303_4_007	chr2	145106062	146461802	5	1
SM200303_4_007	chr2	146461802	147639877	5	1
SM200303_4_007	chr2	147639877	150246567	6	1
SM200303_4_007	chr2	150246567	152078774	4	1
SM200303_4_007	chr2	152078774	153361122	4	1
SM200303_4_007	chr2	153361122	154507147	4	1
SM200303_4_007	chr2	154507147	175375483	4	1
SM200303_4_007	chr2	175375483	186564165	3	1
SM200303_4_007	chr2	186564165	242193529	2	1
SM200303_4_007	chr3	0	9011591	2	1
SM200303_4_007	chr3	9011591	10337473	2	1
SM200303_4_007	chr3	10337473	11538116	2	1
SM200303_4_007	chr3	11538116	13532188	2	1
SM200303_4_007	chr3	13532188	14743761	2	1
SM200303_4_007	chr3	14743761	15867890	3	1
SM200303_4_007	chr3	15867890	19995889	3	1
SM200303_4_007	chr3	19995889	26628630	3	1
SM200303_4_007	chr3	26628630	30226429	3	1
SM200303_4_007	chr3	30226429	31873272	3	1
SM200303_4_007	chr3	31873272	32950923	2	1
SM200303_4_007	chr3	32950923	44270624	2	1
SM200303_4_007	chr3	44270624	46724348	3	1
SM200303_4_007	chr3	46724348	55535165	3	1
SM200303_4_007	chr3	55535165	58885709	3	1
SM200303_4_007	chr3	58885709	66754123	3	1
SM200303_4_007	chr3	66754123	67849432	2	1
SM200303_4_007	chr3	67849432	91478157	2	1
SM200303_4_007	chr3	91478157	93994968	2	1
SM200303_4_007	chr3	93994968	106933911	2	1
SM200303_4_007	chr3	106933911	113305078	3	1
SM200303_4_007	chr3	113305078	115029351	4	1
SM200303_4_007	chr3	115029351	116005543	4	1
SM200303_4_007	chr3	116005543	119570639	4	1
SM200303_4_007	chr3	119570639	121166290	4	1
SM200303_4_007	chr3	121166290	123842567	4	1
SM200303_4_007	chr3	123842567	125542882	4	1
SM200303_4_007	chr3	125542882	128288841	4	1
SM200303_4_007	chr3	128288841	130571839	5	1
SM200303_4_007	chr3	130571839	158577398	5	1
SM200303_4_007	chr3	158577398	159608479	5	1
SM200303_4_007	chr3	159608479	160792933	4	1
SM200303_4_007	chr3	160792933	164365282	5	1
SM200303_4_007	chr3	164365282	166580470	5	1
SM200303_4_007	chr3	166580470	167713693	5	1
SM200303_4_007	chr3	167713693	168581430	8	1
SM200303_4_007	chr3	168581430	172415080	8	1
SM200303_4_007	chr3	172415080	174034752	5	1
