sample_id	chrom	start	end	cn_a	cn_b
SM200303_4_015	chr1	0	109574083	8	1
SM200303_4_015	chr1	109574083	110981134	6	1
SM200303_4_015	chr1	110981134	121597637	6	1
SM200303_4_015	chr1	121597637	124983809	7	1
SM200303_4_015	chr1	124983809	152762724	7	1
SM200303_4_015	chr1	152762724	163938570	7	1
SM200303_4_015	chr1	163938570	174231931	7	1
SM200303_4_015	chr1	174231931	175520816	5	1
SM200303_4_015	chr1	175520816	201765706	5	1
SM200303_4_015	chr1	201765706	204725393	5	1
SM200303_4_015	chr1	204725393	208660610	5	1
SM200303_4_015	chr1	208660610	230854641	5	1
SM200303_4_015	chr1	230854641	240812373	6	1
SM200303_4_015	chr1	240812373	248956422	6	1
SM200303_4_015	chr2	0	12802066	4	1
SM200303_4_015	chr2	12802066	29164090	4	1
SM200303_4_015	chr2	29164090	89604222	6	1
SM200303_4_015	chr2	89604222	89852384	6	1
SM200303_4_015	chr2	89852384	90089350	8	1
SM200303_4_015	chr2	90089350	105925269	6	1
SM200303_4_015	chr2	105925269	144909324	6	1
SM200303_4_015	chr2	144909324	194547638	6	1
SM200303_4_015	chr2	194547638	215464533	7	1
SM200303_4_015	chr2	215464533	236923891	5	1
SM200303_4_015	chr2	236923891	242193529	5	1
SM200303_4_015	chr3	0	91580742	4	1
SM200303_4_015	chr3	91580742	93470511	4	1
SM200303_4_015	chr3	93470511	104055772	6	1
SM200303_4_015	chr3	104055772	105265660	4	1
SM200303_4_015	chr3	105265660	172432048	6	1
SM200303_4_015	chr3	172432048	179874085	6	1
SM200303_4_015	chr3	179874085	181425038	6	1
SM200303_4_015	chr3	181425038	195873089	6	1
SM200303_4_015	chr3	195873089	198295559	6	1
SM200303_4_015	chr4	0	1489597	5	1
SM200303_4_015	chr4	1489597	48336632	4	1
SM200303_4_015	chr4	48336632	53691648	3	1
SM200303_4_015	chr4	53691648	54799938	3	1
SM200303_4_015	chr4	54799938	58965232	3	1
SM200303_4_015	chr4	58965232	62639991	3	1
SM200303_4_015	chr4	62639991	87891112	3	1
SM200303_4_015	chr4	87891112	106617411	3	1
SM200303_4_015	chr4	106617411	109400752	3	1
SM200303_4_015	chr4	109400752	120452102	3	1
SM200303_4_015	chr4	120452102	121861025	3	1
SM200303_4_015	chr4	121861025	124595406	3	1
SM200303_4_015	chr4	124595406	147084070	3	1
SM200303_4_015	chr4	147084070	148624002	3	1
SM200303_4_015	chr4	148624002	156879082	3	1
SM200303_4_015	chr4	156879082	159597881	4	1
SM200303_4_015	chr4	159597881	169129556	3	1
SM200303_4_015	chr4	169129556	171483233	3	1
SM200303_4_015	chr4	171483233	190214555	3	1
SM200303_4_015	chr5	0	3707870	8	1
SM200303_4_015	chr5	3707870	6010332	8	1
SM200303_4_015	chr5	6010332	19006030	8	1
SM200303_4_015	chr5	19006030	21047935	8	1
SM200303_4_015	chr5	21047935	43242902	8	1
SM200303_4_015	chr5	43242902	49667015	8	1
SM200303_4_015	chr5	49667015	129854456	5	1
SM200303_4_015	chr5	129854456	130678455	8	1
SM200303_4_015	chr5	130678455	133888622	8	1
SM200303_4_015	chr5	133888622	145525739	8	1
SM200303_4_015	chr5	145525739	159417157	8	1
SM200303_4_015	chr5	159417157	165489397	8	1
SM200303_4_015	chr5	165489397	171849749	8	1
SM200303_4_015	chr5	171849749	172588797	8	1
SM200303_4_015	chr5	172588797	181538259	8	1
SM200303_4_015	chr6	0	2753062	5	1
SM200303_4_015	chr6	2753062	4677318	5	1
SM200303_4_015	chr6	4677318	9135007	7	1
SM200303_4_015	chr6	9135007	10790918	8	1
SM200303_4_015	chr6	10790918	12065876	8	1
SM200303_4_015	chr6	12065876	14578006	8	1
SM200303_4_015	chr6	14578006	16302301	8	1
SM200303_4_015	chr6	16302301	19840773	8	1
SM200303_4_015	chr6	19840773	21651293	7	1
SM200303_4_015	chr6	21651293	24665706	7	1
SM200303_4_015	chr6	24665706	27574199	8	1
SM200303_4_015	chr6	27574199	41944330	6	1
SM200303_4_015	chr6	41944330	44151462	5	1
SM200303_4_015	chr6	44151462	44530837	5	1
SM200303_4_015	chr6	44530837	57776872	2	1
SM200303_4_015	chr6	57776872	59338094	6	1
SM200303_4_015	chr6	59338094	170805979	6	1
SM200303_4_015	chr7	0	38713377	5	1
SM200303_4_015	chr7	38713377	40904005	5	1
SM200303_4_015	chr7	40904005	42451666	4	1
SM200303_4_015	chr7	42451666	44913661	4	1
SM200303_4_015	chr7	44913661	57309786	4	1
SM200303_4_015	chr7	57309786	62953660	7	1
SM200303_4_015	chr7	62953660	118421210	4	1
SM200303_4_015	chr7	118421210	124908193	7	1
SM200303_4_015	chr7	124908193	126093963	7	1
SM200303_4_015	chr7	126093963	126660375	8	1
SM200303_4_015	chr7	126660375	141584294	8	1
SM200303_4_015	chr7	141584294	144804283	8	1
SM200303_4_015	chr7	144804283	159345973	7	1
SM200303_4_015	chr8	0	27730895	2	1
SM200303_4_015	chr8	27730895	44955716	4	1
SM200303_4_015	chr8	44955716	46319232	8	1
SM200303_4_015	chr8	46319232	101234304	8	1
SM200303_4_015	chr8	101234304	103166131	8	1
SM200303_4_015	chr8	103166131	110589500	8	1
SM200303_4_015	chr8	110589500	115823120	8	1
SM200303_4_015	chr8	115823120	120726988	8	1
SM200303_4_015	chr8	120726988	122057048	8	1
SM200303_4_015	chr8	122057048	135575298	8	1
SM200303_4_015	chr8	135575298	138768256	8	1
SM200303_4_015	chr8	138768256	141906907	8	1
SM200303_4_015	chr8	141906907	145138636	8	1
SM200303_4_015	chr9	0	902443	5	1
SM200303_4_015	chr9	902443	11304888	5	1
SM200303_4_015	chr9	11304888	23691723	3	1
SM200303_4_015	chr9	23691723	25032828	1	1
SM200303_4_015	chr9	25032828	93091141	3	1
SM200303_4_015	chr9	93091141	94406881	4	1
SM200303_4_015	chr9	94406881	114379361	4	1
SM200303_4_015	chr9	114379361	117966052	4	1
SM200303_4_015	chr9	117966052	134065051	6	1
SM200303_4_015	chr9	134065051	138394717	5	1
SM200303_4_015	chr10	0	16964079	6	1
SM200303_4_015	chr10	16964079	26516217	6	1
SM200303_4_015	chr10	26516217	29274008	6	1
SM200303_4_015	chr10	29274008	33342150	6	1
SM200303_4_015	chr10	33342150	36604098	8	1
SM200303_4_015	chr10	36604098	43829517	8	1
SM200303_4_015	chr10	43829517	54293778	4	1
SM200303_4_015	chr10	54293778	73243069	4	1
SM200303_4_015	chr10	73243069	133797422	4	1
SM200303_4_015	chr11	0	41710631	4	1
SM200303_4_015	chr11	41710631	50554376	4	1
SM200303_4_015	chr11	50554376	56188669	6	1
SM200303_4_015	chr11	56188669	58996905	6	1
SM200303_4_015	chr11	58996905	67530296	6	1
