sample_id	chrom	start	end	cn_a	cn_b
SM200303_4_001	chr1	0	109804231	4	1
SM200303_4_001	chr1	109804231	111705198	3	1
SM200303_4_001	chr1	111705198	121599032	3	1
SM200303_4_001	chr1	121599032	124972960	4	1
SM200303_4_001	chr1	124972960	145793373	4	1
SM200303_4_001	chr1	145793373	152528218	4	1
SM200303_4_001	chr1	152528218	171467549	4	1
SM200303_4_001	chr1	171467549	174053767	5	1
SM200303_4_001	chr1	174053767	180617533	5	1
SM200303_4_001	chr1	180617533	214170495	4	1
SM200303_4_001	chr1	214170495	248956422	4	1
SM200303_4_001	chr2	0	29096829	2	1
SM200303_4_001	chr2	29096829	41415318	3	1
SM200303_4_001	chr2	41415318	42891790	5	1
SM200303_4_001	chr2	42891790	89309246	3	1
SM200303_4_001	chr2	89309246	90133837	3	1
SM200303_4_001	chr2	90133837	91991511	3	1
SM200303_4_001	chr2	91991511	96377830	3	1
SM200303_4_001	chr2	96377830	99733661	3	1
SM200303_4_001	chr2	99733661	103295747	3	1
SM200303_4_001	chr2	103295747	114854456	3	1
SM200303_4_001	chr2	114854456	115742062	3	1
SM200303_4_001	chr2	115742062	123929900	3	1
SM200303_4_001	chr2	123929900	126223995	3	1
SM200303_4_001	chr2	126223995	189363659	3	1
SM200303_4_001	chr2	189363659	191264159	3	1
SM200303_4_001	chr2	191264159	196645124	3	1
SM200303_4_001	chr2	196645124	197824217	3	1
SM200303_4_001	chr2	197824217	201577916	3	1
SM200303_4_001	chr2	201577916	211794214	3	1
SM200303_4_001	chr2	211794214	212377694	3	1
SM200303_4_001	chr2	212377694	213391182	3	1
SM200303_4_001	chr2	213391182	236854941	3	1
SM200303_4_001	chr2	236854941	242193529	3	1
SM200303_4_001	chr3	0	91589045	2	1
SM200303_4_001	chr3	91589045	93470500	2	1
SM200303_4_001	chr3	93470500	93999154	3	1
SM200303_4_001	chr3	93999154	104280567	3	1
SM200303_4_001	chr3	104280567	105127832	3	1
SM200303_4_001	chr3	105127832	119954312	3	1
SM200303_4_001	chr3	119954312	122015697	3	1
SM200303_4_001	chr3	122015697	191061081	3	1
SM200303_4_001	chr3	191061081	193546383	3	1
SM200303_4_001	chr3	193546383	194884670	4	1
SM200303_4_001	chr3	194884670	195897900	4	1
SM200303_4_001	chr3	195897900	198295559	4	1
SM200303_4_001	chr4	0	1486528	2	1
SM200303_4_001	chr4	1486528	125494141	2	1
SM200303_4_001	chr4	125494141	127502624	2	1
SM200303_4_001	chr4	127502624	172473653	2	1
SM200303_4_001	chr4	172473653	175448455	2	1
SM200303_4_001	chr4	175448455	190214555	2	1
SM200303_4_001	chr5	0	2263182	4	1
SM200303_4_001	chr5	2263182	18527370	4	1
SM200303_4_001	chr5	18527370	21105645	4	1
SM200303_4_001	chr5	21105645	38136168	5	1
SM200303_4_001	chr5	38136168	39328061	5	1
SM200303_4_001	chr5	39328061	40343744	5	1
SM200303_4_001	chr5	40343744	42611517	5	1
SM200303_4_001	chr5	42611517	49666787	5	1
SM200303_4_001	chr5	49666787	130071863	2	1
SM200303_4_001	chr5	130071863	133276251	4	1
SM200303_4_001	chr5	133276251	135784466	4	1
SM200303_4_001	chr5	135784466	144792569	4	1
SM200303_4_001	chr5	144792569	150853911	4	1
SM200303_4_001	chr5	150853911	160489338	4	1
SM200303_4_001	chr5	160489338	163892962	4	1
SM200303_4_001	chr5	163892962	165886023	4	1
SM200303_4_001	chr5	165886023	167036450	4	1
SM200303_4_001	chr5	167036450	181538259	4	1
SM200303_4_001	chr6	0	4463535	3	1
SM200303_4_001	chr6	4463535	11061208	4	1
SM200303_4_001	chr6	11061208	15444734	5	1
SM200303_4_001	chr6	15444734	18239651	4	1
SM200303_4_001	chr6	18239651	21392228	4	1
SM200303_4_001	chr6	21392228	24554921	4	1
SM200303_4_001	chr6	24554921	27716184	6	1
SM200303_4_001	chr6	27716184	44482427	3	1
SM200303_4_001	chr6	44482427	57785810	1	1
SM200303_4_001	chr6	57785810	59336866	1	1
SM200303_4_001	chr6	59336866	69240139	3	1
SM200303_4_001	chr6	69240139	74033953	3	1
SM200303_4_001	chr6	74033953	170805979	3	1
SM200303_4_001	chr7	0	59504012	3	1
SM200303_4_001	chr7	59504012	62401314	3	1
